기관명,병합시스템명,시스템명,등급,DR유무,이중화유무,예산사업No,세부사업명,단위사업명,국회확정금액(천원),매칭방법,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널
한국기술교육대학교,한기대학사행정시스템,학생종합경력개발시스탬(STEMS),4,Y,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,직업훈련·교육,업무처리시스템,교육기관,N,저,웹,내부,직업훈련·교육,업무처리시스템,교육기관,N,저,웹
한국기술교육대학교,홈페이지,한국기술교육대학교 산학협력단 대표홈페이지,3,N,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹
한국산업인력공단,홈페이지,HRD4U,4,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,혼합,직업훈련·교육,업무처리시스템,공단,N,중,웹,혼합,직업훈련·교육,업무처리시스템,공단,N,중,웹
한국산업인력공단,산업인력공단 행정시스템,PDMS 일학습병행 훈련과정개발ㆍ인정 시스템,4,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,혼합,직업훈련·교육,업무처리시스템,공단,N,저,웹,혼합,직업훈련·교육,업무처리시스템,공단,N,저,웹
한국산업인력공단,산업인력공단 내부업무시스템,e-감사시스템,4,N,N,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,내부,행정지원,업무처리시스템,공단,N,저,웹,내부,행정지원,업무처리시스템,공단,N,저,웹
한국산업인력공단,홈페이지,jobplusTV,4,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,대국민,정보공개·홍보,업무처리시스템,공단,N,저,웹,대국민,정보공개·홍보,업무처리시스템,공단,N,저,웹
한국산업인력공단,산업인력공단 내부업무시스템,경영지원포털시스템,3,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,내부,행정지원,홈페이지/포털,공단,N,저,웹,내부,행정지원,홈페이지/포털,공단,N,저,웹
한국산업인력공단,산업인력공단 행정시스템,고용허가제통합정보망,2,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,혼합,외국인고용,업무처리시스템,공단,N,고,웹,혼합,외국인고용,업무처리시스템,공단,N,고,웹
한국산업인력공단,홈페이지,공단대표홈페이지,3,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,대국민,정보공개·홍보,홈페이지/포털,공단,N,저,웹,대국민,정보공개·홍보,홈페이지/포털,공단,N,저,웹
한국산업인력공단,과정평가형일학습병행자격정보시스템(CQ-Net),과정평가형일학습병행자격정보시스템(CQ-Net),2,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,대국민,자격·평가,업무처리시스템,공단,N,중,복합,대국민,자격·평가,업무처리시스템,공단,N,중,복합
한국산업인력공단,국가직무능력표준시스템,국가직무능력표준시스템,3,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,내부,자격·평가,업무처리시스템,공단,N,저,웹,내부,자격·평가,업무처리시스템,공단,N,저,웹
한국산업인력공단,홈페이지,마이스터넷(우수숙련기술인포털서비스),3,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,대국민,정보공개·홍보,홈페이지/포털,공단,N,저,웹,대국민,정보공개·홍보,홈페이지/포털,공단,N,저,웹
한국산업인력공단,외국인력상담센터 콜 상담시스템,외국인력상담센터 콜 상담시스템,4,N,N,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,대국민,외국인고용,상담/콜센터,공단,N,중,콜,대국민,외국인고용,상담/콜센터,공단,N,중,콜
한국산업인력공단,산업인력공단 행정시스템,원격훈련모니터링시스템,4,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,혼합,직업훈련·교육,업무처리시스템,공단,N,중,웹,혼합,직업훈련·교육,업무처리시스템,공단,N,중,웹
한국산업인력공단,월드잡플러스시스템,월드잡플러스시스템,2,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,대국민,고용서비스,업무처리시스템,공단,N,중,웹,대국민,고용서비스,업무처리시스템,공단,N,중,웹
한국산업인력공단,자격정보시스템(Q-Net),자격CBT시스템,3,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,혼합,자격·평가,업무처리시스템,공단,N,중,웹,혼합,자격·평가,업무처리시스템,공단,N,중,웹
한국산업인력공단,자격정보시스템(Q-Net),자격정보시스템(Q-Net),1,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,대국민,자격·평가,업무처리시스템,공단,N,중,복합,대국민,자격·평가,업무처리시스템,공단,N,중,복합
한국산업인력공단,직무능력은행 시스템,직무능력은행 시스템,3,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,내부,직업훈련·교육,업무처리시스템,공단,N,저,웹,내부,직업훈련·교육,업무처리시스템,공단,N,저,웹
